Company_name,Scope 1 Emissions,Scope 2 Emissions,Total emissions
Indraprastha Gas Limited,1204147.78,140305,1344452.78
Indraprastha Gas Limited,901836,123769,1025605
Indus Towers Limited,691756,6727950,7419706
IndusInd Bank Limited,20424.64,66311.97,86736.61
Infibeam Avenues Limited,Not disclosed,Not disclosed,0
Info Edge (India) Limited,981.07,4569.7,5550.77
Infosys Limited,8745,38586,47331
Ingersoll Rand (India) Limited,66.92,1521.84,1588.76
Innova Captab Limited,360.46,15838.07,16198.53
Inox Green Energy Services Limited,5335,118,5453
INOX India Limited,715.68,9549.87,10265.55
Inox Wind Limited,250,2444,2694
Insecticides (India) Limited,14657.67,15353.58,30011.25
INTELLECT DESIGN ARENA LIMITED,466.38,2828.91,3295.29
InterGlobe Aviation Limited,9706392.55,10990.77,9717383.32
International Gemmological Institute (India) Limited,0,420.31,420.31
IOL Chemicals and Pharmaceuticals Limited,45920,6017.88,51937.88
Ion Exchange (India) Limited,3591,10530,14121
Ipca Laboratories Limited,169992,124512,294504
IRB Infrastructure Developers Limited,82256.49,45835.77,128092.26
Ircon International Limited,52849.92,6744.06,59593.98
IRM ENERGY LIMITED,2481.85,13031.65,15513.5
ISGEC Heavy Engineering Limited,13919.6,33321.1,47240.7
ITC Limited,1101,153,1254
ITD CEMENTATION INDIA LIMITED,74279.82,34336.49,108616.31
J.Kumar Infraprojects Limited,41118.83,10877.26,51996.09
JAGRAN PRAKASHAN LIMITED,733.22,14824.31,15557.53
Jagsonpal Pharmaceuticals Limited,Not disclosed,Not disclosed,0
JAI BALAJI INDUSTRIES LIMITED,2796666,378270,3174936
Jai Corp Limited,53.66,23480.32,23533.98
Jain Irrigation Systems Limited,123499,111858,235357
Jain Irrigation Systems Limited,123499,111858,235357
Jaiprakash Associates Limited,0.56,0,0.56
JAIPRAKASH POWER VENTURES LIMITED,7845953,373458,8219411
JAMNA AUTO INDUSTRIES LIMITED,51148,30028,81176
Jana Small Finance Bank Limited,Not disclosed,Not disclosed,0
JASH ENGINEERING LIMITED,Not disclosed,Not disclosed,0
Jay Bharat Maruti Limited,2439.09,37532.18,39971.27
Jayaswal Neco Industries Limited,2566145,182286,2748431
JB Chemicals & Pharmaceuticals Limited,5651.98,48756.48,54408.46
JBM Auto Limited,4180,70817.75,74997.75
JEENA SIKHO LIFECARE LIMITED,Not disclosed,Not disclosed,0
JEENA SIKHO LIFECARE LIMITED,Not disclosed,Not disclosed,0
JINDAL DRILLING AND INDUSTRIES LIMITED,Not disclosed,Not disclosed,0
Jindal Poly Films Limited,574,60480,61054
Jindal Saw Limited,1703961,302048,2006009
Jindal Stainless Limited,2995798,622511,3618309
JINDAL STEEL & POWER LIMITED,21.49,1.01,22.5
JINDAL WORLDWIDE LIMITED,147112.96,1076.67,148189.63
Jio Financial Services Limited,0,128,128
JK CEMENT LIMITED,10472587,420227,10892814
JK LAKSHMI CEMENT LIMITED,7007134,237401.5,7244535.5
JK PAPER LIMITED,678684,10587,689271
JK Tyre & Industries Limited,99676.1,87847.55,187523.65
JM Financial Limited,8.03,438.49,446.52
JNK India Limited,29.19,257.41,286.6
Johnson Controls - Hitachi Air Conditioning India Limited,35021,10034,45055
JSW Energy Limited,20522777.86,36661.4,20559439.26
JSW Holdings Limited,Not disclosed,Not disclosed,0
JSW Infrastructure Limited,29642,81996,111638
JSW Steel Limited,53100751.63,1653056.65,54753808.28
JTEKT India Limited,2021,19669,21690
JTL Industries Limited,Not disclosed,Not disclosed,0
Jubilant FoodWorks Limited,48316,123068,171384
JUBILANT INGREVIA LIMITED,657.4,79.11,736.51
Jubilant Pharmova Limited,10084,64219,74303
Juniper Hotels Limited,1833.8,25392.58,27226.38
Jupiter Life Line Hospitals Limited,92.57,6664.12,6756.69
Jupiter Wagons Limited,9577.83,38087.49,47665.32
Just Dial Limited,35,7261,7296
JYOTHY LABS LIMITED,16289,17486,33775
JYOTI CNC AUTOMATION LIMITED,0,0,0
Jyoti Structures Limited,0,0,0
K.P. ENERGY LIMITED,Not disclosed,Not disclosed,0
K.P.R. MILL LIMITED,59287.07,120130.15,179417.22
KABRA EXTRUSION TECHNIK LIMITED,Not disclosed,Not disclosed,0
Kajaria Ceramics Limited,437311,187602,624913
Kalpataru Projects International Limited,82563,25682,108245
Kalyan Jewellers India Limited,2335.89,28871.45,31207.34
KALYANI STEELS LIMITED,593189,5033,598222
Kamdhenu Limited,14092.72,15775.04,29867.76
Kansai Nerolac Paints Limited,8514,41219,49733
KARUR VYSYA BANK LIMITED,543.92,21099.39,21643.31
Kaveri Seed Company Limited,1603.7,2366,3969.7
Kaynes Technology India Limited,527.75,5802.78,6330.53
KCP LIMITED,1873233.4,95909.9,1969143.3
KDDL Limited,485.2,5125.3,5610.5
KEC International Limited,61095.06,35442.83,96537.89
KEI INDUSTRIES LIMITED,7297.46,79336.47,86633.93
KELLTON TECH SOLUTIONS LIMITED,Not disclosed,Not disclosed,0
KESORAM INDUSTRIES LIMITED,0,0,0
Kewal Kiran Clothing Limited,1812,2250,4062
Keystone Realtors Limited,2199.99,5494.23,7694.22
KFin Technologies Limited,16.8,3182.04,3198.84
Khaitan Chemicals & Fertilizers Limited,Not disclosed,Not disclosed,0
Kingfa Science & Technology (India) Limited,Not disclosed,Not disclosed,0
KIOCL Limited,156229,37833,194062
Kiri Industries Limited,8024.56,2452.91,10477.47
Kirloskar Brothers Limited,2630.14,28542.59,31172.73
Kirloskar Industries Limited,10.27,22.73,33
Kirloskar Oil Engines Limited,7414,10483,17897
Kirloskar Pneumatic Company Limited,690.85,11403.37,12094.22
Kitex Garments Limited,172480,3678500,3850980
KNR Constructions Limited,183389.74,7580.66,190970.4
KOKUYO CAMLIN LIMITED,306.24,2985.95,3292.19
Kolte - Patil Developers Limited,128.34,1365.01,1493.35
Kopran Limited,16132,12608.42,28740.42
KOTAK MAHINDRA BANK LIMITED,14701.1,87287.2,101988.3
KPI GREEN ENERGY LIMITED,445.15,288.42,733.57
KPIT Technologies Limited,768.52,2647.36,3415.88
KRBL Limited,23654.88,11215.51,34870.39
Krishana Phoschem Limited,13706.93,22719.16,36426.09
Krishna Institute of Medical Sciences Limited,1057.44,9773.09,10830.53
KRN HEAT EXCHANGER AND REFRIGERATION LIMITED,621,561,1182
Krsnaa Diagnostics Limited,31.98,150.67,182.65
KSB Limited,2219,8160,10379
KUANTUM PAPERS LIMITED,243947,8074,252021
L&T Finance Limited,386.23,1909.16,2295.39
L&T Technology Services Limited,321.23,14242.48,14563.71
LA OPALA RG LIMITED,5096,18643,23739
Landmark Cars Limited,1004.76,1917.37,2922.13
Larsen & Toubro Limited,603953,282341,886294
Latent View Analytics Limited,1.12,400.79,401.91
LAURUS LABS LIMITED,315457,181901,497358
Laxmi Organic Industries Limited,304343,50705,355048
Le Travenues Technology Limited,0,38.2,38.2
Lemon Tree Hotels Limited,9485.86,34744,44229.86
LG BALAKRISHNAN & BROS LIMITED,10703.92,53644.97,64348.89
LIC Housing Finance Limited,4.43,3827.89,3832.32
Life Insurance Corporation of India,27014,84102,111116
Likhitha Infrastructure Limited,Not disclosed,Not disclosed,0
Linde India Limited,2863.59,1320627.48,1323491.07
Lloyds Engineering Works Limited,0,0,0
Lloyds Enterprises Limited,Not disclosed,Not disclosed,0
Lloyds Metals and Energy Limited,696745.33,12336.66,709081.99
LMW Limited,4682.2,2577,7259.2
LT Foods Limited,807,10691,11498
LTIMindtree Limited,1542,18239,19781
Lumax Auto Technologies Limited,1797.42,31406.87,33204.29
Lumax Industries Limited,2510,61023.12,63533.12
Lupin Limited,80181,245290,325471
Lux Industries Limited,380,8888,9268
MACROTECH DEVELOPERS LIMITED,3179.76,0,3179.76
Madhya Bharat Agro Products Limited,16618.35,15323.6,31941.95
MADRAS FERTILIZERS LIMITED,240000,0,240000
Magellanic Cloud Limited,Not disclosed,Not disclosed,0
Mahanagar Gas Limited,283681,113855,397536
Mahanagar Telephone Nigam Limited,Not disclosed,Not disclosed,0
MAHARASHTRA SCOOTERS LIMITED,Not disclosed,Not disclosed,0
Maharashtra Seamless Limited,99103,0,99103
Mahindra & Mahindra Financial Services Limited,4022.02,13182.91,17204.93
Mahindra & Mahindra Limited,67829,249830,317659
Mahindra EPC Irrigation Limited,9,2903,2912
Mahindra Holidays & Resorts India Limited,7961,28156,36117
Mahindra Lifespace Developers Limited,281.56,2396.81,2678.37
Mahindra Logistics Limited,2835,4585,7420
MAITHAN ALLOYS LIMITED,0,0,0
Man Industries (India) Limited,175061.88,21442.89,196504.77
Man Infraconstruction Limited,621.97,159.69,781.66
Manali Petrochemicals Limited,21836.38,20327.38,42163.76
Manappuram Finance Limited,128.07,14424.98,14553.05
Mangalam Cement Limited,2000950,37389,2038339
Mangalore Chemicals & Fertilizers Limited,296036,0,296036
MANGALORE REFINERY AND PETROCHEMICALS LIMITED,5675575,143254,5818829
MANKIND PHARMA LIMITED,6538,29205,35743
Manorama Industries Limited,604.94,12177.72,12782.66
Marathon Nextgen Realty Limited,227.93,13331.01,13558.94
Marico Limited,1207.5,9534.9,10742.4
MARKSANS PHARMA LIMITED,19912,1530,21442
Maruti Suzuki India Limited,225537,215368,440905
MAS FINANCIAL SERVICES LIMITED,477,999,1476
Mastek Limited,0,0,0
Matrimony.com Limited,Not disclosed,Not disclosed,0
MAX ESTATES LIMITED,196.83,6458.49,6655.32
Max Financial Services Limited,293.2,7759.43,8052.63
MAX HEALTHCARE INSTITUTE LIMITED,7264.37,53359.93,60624.3
Mayur Uniquoters Ltd,37813.9,11274.17,49088.07
Mazagon Dock Shipbuilders Limited,594.84,10282.39,10877.23
Medi Assist Healthcare Services Limited,Not disclosed,Not disclosed,0
Medicamen Biotech Limited,Not disclosed,Not disclosed,0
MedPlus Health Services Limited,1531.67,37135.47,38667.14
Meghmani Organics Limited,139894.18,43371.69,183265.87
Metro Brands Limited,345.54,19752.29,20097.83
Metropolis Healthcare Limited,132.12,9267.93,9400.05
Minda Corporation Limited,9470.17,32381.56,41851.73
MIRZA INTERNATIONAL LIMITED,32.17,0.03,32.2
Mishra Dhatu Nigam Limited,15295.01,44831.51,60126.52
MITCON Consultancy & Engineering Services Limited,44,110,154
MM Forgings Limited,6599,54086,60685
MMTC LIMITED,Not disclosed,Not disclosed,0
MOIL Limited,7841.88,73110.94,80952.82
MOLD-TEK PACKAGING LIMITED,343.7,25178.8,25522.5
Monarch Networth Capital Limited,Not disclosed,Not disclosed,0
Monte Carlo Fashions Limited,Not disclosed,Not disclosed,0
Morepen Laboratories Limited,7128.95,18888.1,26017.05
MOSCHIP TECHNOLOGIES LIMITED,0.94,355.07,356.01
Motherson Sumi Wiring India Limited,1491,23471,24962
Motilal Oswal Financial Services Limited,6.76,6369.77,6376.53
Mphasis Limited,158.32,18047.77,18206.09
MPS Limited,110.85,2855.72,2966.57
MRF Limited,594035,604767,1198802
Mrs. Bectors Food Specialities Limited,22024.77,25093.14,47117.91
MSTC LIMITED,8.5,760.66,769.16
MTAR TECHNOLOGIES LIMITED,280.07,12625.39,12905.46
Mufin Green Finance Limited,0,45.38,45.38
Mukand Limited,863437.2,65036.02,928473.22
MUSIC BROADCAST LIMITED,160,4837,4997
MUTHOOT FINANCE LIMITED,128.58,75722.52,75851.1
Muthoot Microfin Limited,0.83,3341.89,3342.72
N. B. I. Industrial Finance Company Limited,Not disclosed,Not disclosed,0
NACL Industries Limited,25034.16,16161.48,41195.64
Nagarjuna Fertilizers and Chemicals Limited,Not disclosed,Not disclosed,0
Nahar Capital and Financial Services Limited,Not disclosed,Not disclosed,0
Nahar Poly Films Limited,Not disclosed,Not disclosed,0
Nahar Spinning Mills Limited,1565.45,29370.5,30935.95
Nalwa Sons Investments Limited,Not disclosed,Not disclosed,0
Nandan Denim Limited,206679,21181,227860
Narayana Hrudayalaya Ltd.,17922.68,29412.45,47335.13
NATCO Pharma Limited,28494.95,43630.35,72125.3
National Aluminium Company Limited,10641135.54,274225.94,10915361.48
NATIONAL FERTILIZERS LIMITED,2912642,0,2912642
NAVA LIMITED,2712160.36,124214.95,2836375.31
Navin Fluorine International Limited,164451.34,46196.79,210648.13
NAVNEET EDUCATION LIMITED,2474.21,8832.15,11306.36
NAZARA TECHNOLOGIES LIMITED,22.81,112.1,134.91
NBCC (India) Limited,2052.1,887.04,2939.14
NCC LIMITED,119629,26248,145877
NELCAST LIMITED,3028,59373,62401
Nelco Limited,24.12,1617.64,1641.76
Neogen Chemicals Limited,11420.2,13258.89,24679.09
Nesco Limited,419.51,9159.9,9579.41
Nestle India Limited,147573,181638,329211
NETWEB TECHNOLOGIES INDIA LIMITED,147.05,1104.58,1251.63
Network18 Media & Investments Limited,589,11003,11592
Network18 Media & Investments Limited,176,13367,13543
Neuland Laboratories Limited,27760.95,31059.61,58820.56
New Delhi Television Limited,34.2,2355.24,2389.44
Newgen Software Technologies Limited,566.08,2331.04,2897.12
NGL FINE-CHEM LIMITED,16.86,11.4,28.26
NHPC Limited,4016,41528,45544
NIIT Learning Systems Limited,289.01,964.89,1253.9
NIIT Limited,184.04,788.62,972.66
Nilkamal Limited,6103,38844,44947
Nippon Life India Asset Management Limited,72.32,1836.54,1908.86
NITIN SPINNERS LIMITED,50691,254596,305287
Niva Bupa Health Insurance Company Limited,0,0,0
NLC India Limited,30079691.55,44935.21,30124626.76
NMDC Limited,103482,84202,187684
NMDC Steel Limited,5574359,575885,6150244
NOCIL Limited,126093.38,24583.03,150676.41
Northern Arc Capital Limited,11.68,753,764.68
NRB Bearing Limited,2111.7,28500.27,30611.97
NTPC Green Energy Limited,295.54,19697.33,19992.87
NTPC LIMITED,326959946.4,64979.66,327024926.1
NUCLEUS SOFTWARE EXPORTS LIMITED,Not disclosed,Not disclosed,0
Nureca Limited,Not disclosed,Not disclosed,0
NUVAMA WEALTH MANAGEMENT LIMITED,0,1231.95,1231.95
Nuvoco Vistas Corporation Limited,8931380,159751,9091131
Oberoi Realty Limited,2806.81,24092.36,26899.17
Oil & Natural Gas Corporation Limited,9002041,498787,9500828
Oil India Limited,1245928,22477,1268405
Ola Electric Mobility Limited,1332.31,25525.36,26857.67
Olectra Greentech Limited,17.98,3595,3612.98
Omaxe Limited,Not disclosed,Not disclosed,0
One 97 Communications Limited,182.08,1817.46,1999.54
One Mobikwik Systems Limited,228.8,172,400.8
ONESOURCE SPECIALTY PHARMA LIMITED,7653.6,5019.1,12672.7
ONMOBILE GLOBAL LIMITED,21,1137,1158
ONWARD TECHNOLOGIES LIMITED,5,566,571
Optiemus Infracom Limited,0,35.52,35.52
Oracle Financial Services Software Limited,373.63,6819,7192.63
Orchid Pharma Limited,74800.3,16621.4,91421.7
Orient Cement Limited,3451629,22038,3473667
Orient Electric Limited,2015.79,9400.96,11416.75
ORIENT GREEN POWER COMPANY LIMITED,0,0,0
Oriental Aromatics Limited,35983.47,20634.05,56617.52
Oriental Hotels Limited,3539.63,6671,10210.63
Page Industries Limited,993,11945,12938
Paisalo Digital Limited,170.27,626.35,796.62
Panacea Biotec Limited,1797.85,15986.05,17783.9
Panama Petrochem Limited,524.29,588.74,1113.03
PARADEEP PHOSPHATES LIMITED,468920,65908,534828
Parag Milk Foods Limited,81268,24834,106102
Paramount Communications Limited,1332.52,13378.9,14711.42
Paras Defence and Space Technologies Limited,9.15,2470.51,2479.66
PATANJALI FOODS LIMITED,512498,81766,594264
Patel Engineering Limited,72055.82,136691.26,208747.08
PB FINTECH LIMITED,1954,8945,10899
PC Jeweller Limited,0,1961.92,1961.92
PCBL CHEMICAL LIMITED,940056,7998,948054
PDS Limited,8735.14,5640.97,14376.11
Pearl Global Industries Limited,2068.76,7224.46,9293.22
PENNAR INDUSTRIES LIMITED,Not disclosed,Not disclosed,0
Persistent Systems Limited,274.51,4541.04,4815.55
Petronet LNG Limited,242656.83,177244.17,419901
Pfizer Limited,56,1619,1675
PG Electroplast Limited,6011.33,52950.85,58962.18
PI INDUSTRIES LIMITED,37199.79,113143.76,150343.55
Piccadily Agro Industries limited,0,0,0
Pidilite Industries Limited,8690,38535,47225
PILANI INVESTMENT AND INDUSTRIES CORPORATION LIMITED,Not disclosed,Not disclosed,0
Piramal Enterprises Limited,91.96,5843.39,5935.35
Piramal Pharma Limited,32279,64667,96946
PITTI ENGINEERING LIMITED,4495,24874.4,29369.4
PIX TRANSMISSIONS LIMITED,177.27,0,177.27
PNB Gilts Ltd.,24.54,187.75,212.29
PNB Housing Finance Limited,6.97,4656.17,4663.14
PNC Infratech Limited,214342.13,4945.07,219287.2
Pokarna Limited,Not disclosed,Not disclosed,0
POLY MEDICURE LIMITED,3602.58,40088.73,43691.31
Polycab India Limited,29061,155118,184179
POLYPLEX CORPORATION LIMITED,6179,68077,74256
PONDY OXIDES & CHEMICALS LIMITED,21977,3230,25207
Poonawalla Fincorp Limited,347.1,2545.49,2892.59
Popular Vehicles and Services Limited,0,14564.23,14564.23
Power Finance Corporation Limited,2.78,1182.41,1185.19
Power Grid Corporation of India Limited,49785,267643,317428
Power Mech Projects Limited,Not disclosed,Not disclosed,0
PPAP Automotive Limited,610,11324,11934
Praj Industries Limited,1610,5986,7596
Prakash Industries Limited,3121454.23,37425.44,3158879.67
Prataap Snacks Limited,9102.56,7438.49,16541.05
Precision Camshafts Limited,13496.58,173.63,13670.21
Precision Wires India Limited,324.86,46945.16,47270.02
PREMIER ENERGIES LIMITED,1904.27,89099.4,91003.67
Premier Explosives Limited,Not disclosed,Not disclosed,0
Prestige Estates Projects Limited,6941.54,60270.9,67212.44
Pricol Limited,1626,8221,9847
Prime Focus Limited,0,2028779,2028779
Primo Chemicals Limited,0.29,1.37,1.66
PRINCE PIPES AND FITTINGS LIMITED,905,59269,60174
Prism Johnson Limited,3828849,263658,4092507
PRIVI SPECIALITY CHEMICALS LIMITED,212476,35568,248044
Procter & Gamble Health Limited,263,4273,4536
Procter & Gamble Health Limited,263,4708,4971
Procter & Gamble Hygiene and Health Care Limited,149,8426,8575
Protean eGov Technologies Limited,282.08,238.82,520.9
Prudent Corporate Advisory Services Limited,13.9,285.8,299.7
PSP Projects Limited,7037.4,5685.05,12722.45
PTC India Financial Services Limited,1.4,154.42,155.82
PTC India Limited,32,270,302
PTC Industries Limited,1305.67,9267.06,10572.73
Punjab & Sind Bank,4724.06,27316.1,32040.16
Punjab Chemicals & Crop Protection Limited,2293.35,0,2293.35
PUNJAB NATIONAL BANK,10621,174100,184721
PURAVANKARA LIMITED,2,Not disclosed,2
PVR INOX LIMITED,11705,220755,232460
Quess Corp Limited,389.46,795.22,1184.68
Quick Heal Technologies Limited,0,0,0
R R Kabel Limited,1103.9,53950.29,55054.19
R Systems International Limited,504.98,1977.41,2482.39
Race Eco Chain Limited,12.6,107.5,120.1
RACL Geartech Limited,2299.74,623.88,2923.62
RADIANT CASH MANAGEMENT SERVICES LIMITED,4256.87,670.78,4927.65
Radico Khaitan Limited,90357,16003,106360
Raghav Productivity Enhancers Limited,Not disclosed,Not disclosed,0
Rail Vikas Nigam Limited,12.25,1120.83,1133.08
Railtel Corporation of India Limited,684.41,11321.83,12006.24
Rain Industries Limited,2899852,154800,3054652
Rainbow Childrens Medicare Limited,2055.61,13735.96,15791.57
RAJ RAYON INDUSTRIES LIMITED,Not disclosed,Not disclosed,0
RAJOO ENGINEERS LIMITED,Not disclosed,Not disclosed,0
RAJRATAN GLOBAL WIRE LIMITED,12777,39902,52679
Rallis India Limited,30896.35,26007.49,56903.84
RAM RATNA WIRES LIMITED,6464.53,48987.82,55452.35
RAMA STEEL TUBES LIMITED,345,2141,2486
RAMCO INDUSTRIES LIMITED,11345.6,32877.1,44222.7
Ramco Systems Limited,195.29,2039.4,2234.69
Ramkrishna Forgings Limited,27350.74,177123.7,204474.44
RAMKY INFRASTRUCTURE LIMITED,7068.59,35595.28,42663.87
Rane Holdings Limited,7.29,284.34,291.63
Rashi Peripherals Limited,160,946,1106
Rashtriya Chemicals and Fertilizers Limited,3754391,73592,3827983
RateGain Travel Technologies Limited,3.62,169.72,173.34
Ratnamani Metals & Tubes Limited,10399.9,36356.51,46756.41
RATTANINDIA ENTERPRISES LIMITED,Not disclosed,Not disclosed,0
RattanIndia Power Limited,7946102,0,7946102
Raymond Lifestyle Limited,115431.43,114623.11,230054.54
Raymond Limited,11.18,656.77,667.95
RBL Bank Limited,120,9282,9402
REC Limited,306.46,1876.53,2182.99
Redington Limited,299,5302,5601
Redtape Limited,Not disclosed,Not disclosed,0
REFEX INDUSTRIES LIMITED,6259,1177,7436
Relaxo Footwears Limited,11272.48,58187.16,69459.64
Reliance Industrial Infrastructure Limited,0,185.68,185.68
Reliance Industries Limited,36459294,1470097,37929391
Reliance Infrastructure Limited,19036,21042.01,40078.01
RELIANCE POWER LIMITED,32965431,0,32965431
Religare Enterprises Limited,21.09,47.04,68.13
Religare Enterprises Limited,12.55,46.1,58.65
Renaissance Global Limited,501.95,1815.07,2317.02
Repco Home Finance Limited,Not disclosed,Not disclosed,0
REPRO INDIA LIMITED,286,4689,4975
Responsive Industries Limited,Not disclosed,Not disclosed,0
Restaurant Brands Asia Limited,12175.51,65812.69,77988.2
RHI Magnesita India Ltd,31613.36,23535.93,55149.29
Rico Auto Industries Limited,13749.17,87268.49,101017.66
Rishabh Instruments Limited,Not disclosed,Not disclosed,0
RITES Limited,230.26,2615,2845.26
Rolex Rings Limited,3306.49,27927.71,31234.2
Rossari Biotech Limited,2270.45,3156.88,5427.33
Rossell India Limited,8142,2822,10964
Roto Pumps Limited,2,.,2
Route Mobile Limited,0,188.95,188.95
RPG Life Sciences Limited,2288,6190,8478
RPSG Ventures Limited,0,321,321
RSWM Limited,Not disclosed,Not disclosed,0
Rupa & Company Limited,20806.28,9315.78,30122.06
RUSHIL DECOR LIMITED,10939.38,59111.92,70051.3
S H KELKAR AND COMPANY LIMITED,139895,7322,147217
S. P. APPARELS LIMITED,36489.65,4922.5,41412.15
S.J.S. Enterprises Limited,84.49,872.44,956.93
Safari Industries (India) Limited,83,12554,12637
Sagar Cements Limited,3557140,198272,3755412
SAI SILKS (KALAMANDIR) LIMITED,Not disclosed,Not disclosed,0
SAKSOFT LIMITED,74.08,726.39,800.47
Salasar Techno Engineering Limited,4317.36,3464.22,7781.58
SAMHI Hotels Limited,2393,28122,30515
Sammaan Capital Limited,365.72,2589.26,2954.98
SAMVARDHANA MOTHERSON INTERNATIONAL LIMITED,98641,527824,626465
SANDHAR TECHNOLOGIES LIMITED,11297.61,45430.58,56728.19
Sandur Manganese & Iron Ores Limited,11958.39,24088.02,36046.41
SANGAM (INDIA) LIMITED,149493.55,210878.83,360372.38
Sanghi Industries Limited,2017934,17656.29,2035590.29
SANGHVI MOVERS LIMITED,3080.78,353.79,3434.57
SANOFI CONSUMER HEALTHCARE INDIA LIMITED,5.04,0,5.04
Sanofi India Limited,509.68,7822,8331.68
Sansera Engineering Limited,7632.71,40584.61,48217.32
SAPPHIRE FOODS INDIA LIMITED,33624,69360,102984
SARDA ENERGY & MINERALS LIMITED,0,0,0
SAREGAMA India Limited,314.4,764.8,1079.2
Sasken Technologies Limited,361,524,885
SASTASUNDAR VENTURES LIMITED,Not disclosed,Not disclosed,0
Satia Industries Limited,333343.12,2465.67,335808.79
Satin Creditcare Network Limited,72.76,3490.82,3563.58
Savita Oil Technologies Limited,3532.12,5982.68,9514.8
SBFC Finance Limited,0,3149.7,3149.7
SBI Cards and Payment Services Limited,197.7,2461.22,2658.92
SBI Life Insurance Company Limited,4108.54,16384.35,20492.89
Schaeffler India Limited,8886.1,0,8886.1
Schneider Electric Infrastructure Limited,1435.74,5445.54,6881.28
SEAMEC LIMITED,45069.95,95.58,45165.53
Senco Gold Limited,175.88,6645.42,6821.3
SEPC Limited,Not disclosed,Not disclosed,0
Sequent Scientific Limited,14224.94,19212.35,33437.29
SERVOTECH RENEWABLE POWER SYSTEM LIMITED,Not disclosed,Not disclosed,0
SESHASAYEE PAPER AND BOARDS LIMITED,373531,109634,483165
SG FINSERVE LIMITED,13.6,57.6,71.2
Shaily Engineering Plastics Limited,2292.8,267.12,2559.92
SHAKTI PUMPS (INDIA) LIMITED,245.76,3271.81,3517.57
Shalby Limited,Not disclosed,Not disclosed,0
Shalimar Paints Limited,460.86,2036.95,2497.81
Shanthi Gears Limited,473.21,8288.15,8761.36
Sharda Cropchem Limited,0,157.62,157.62
Sharda Motor Industries Limited,309.58,6213.73,6523.31
Share India Securities Limited,140.77,1554.73,1695.5
Sheela Foam Limited,422.62,6265.91,6688.53
SHILPA MEDICARE LIMITED,2614.1,12670.2,15284.3
SHIPPING CORPORATION OF INDIA LAND AND ASSETS LIMITED,Not disclosed,Not disclosed,0
SHIPPING CORPORATION OF INDIA LIMITED,1079307,0,1079307
Shivalik Bimetal Controls Limited,171.71,0,171.71
Shivalik Rasayan Limited,Not disclosed,Not disclosed,0
Shoppers Stop Limited,738.94,52436.61,53175.55
Shree Cement Limited,21308522.52,428147.02,21736669.54
Shree Digvijay Cement Co.Ltd,856128,26089,882217
SHREE PUSHKAR CHEMICALS & FERTILISERS LIMITED,0,0,0
Shree Renuka Sugars Limited,1393180.23,7928.48,1401108.71
Shriram Finance Limited,4236.19,24663.04,28899.23
Shriram Pistons & Rings Limited,5744,111478,117222
SHRIRAM PROPERTIES LIMITED,188.35,3538.07,3726.42
Shyam Metalics and Energy Limited,5443997.66,384366.4,5828364.06
Siemens Limited,7448,2371,9819
SIGACHI INDUSTRIES LIMITED,42003.84,8651.52,50655.36
Signatureglobal (India) Limited,478.48,4806.49,5284.97
SIGNPOST INDIA LIMITED,101.08,943.26,1044.34
SINDHU TRADE LINKS LIMITED,Not disclosed,Not disclosed,0
Sirca Paints India Limited,0,0,0
SIS Limited,39234600000,27071000000,66305600000
SIYARAM SILK MILLS LIMITED,50927,38875,89802
SJVN Limited,476,3118.2,3594.2
SKF INDIA LIMITED,667,19950,20617
Skipper Limited,51854,38496,90350
SML ISUZU LIMITED,3116,4482,7598
SMS PHARMACEUTICALS LIMITED,37300.11,52416.47,89716.58
Sobha Limited,2771.78,16998.23,19770.01
Solar Industries India Limited,65713,18649,84362
Solara Active Pharma Sciences Limited,12118,28660,40778
Som Distilleries & Breweries Limited,Not disclosed,Not disclosed,0
SOMANY CERAMICS LIMITED,63558.34,39833.61,103391.95
Sona BLW Precision Forgings Limited,5174,59485,64659
Sonata Software Limited,81.6,637.3,718.9
Southern Petrochemicals Industries Corporation Limited,0,0,0
SPACENET ENTERPRISES INDIA LIMITED,Not disclosed,Not disclosed,0
Spandana Sphoorty Financial Limited,186.53,3603.4,3789.93
Speciality Restaurants Limited,3722,7902,11624
SPORTKING INDIA LIMITED,Not disclosed,Not disclosed,0
Sree Rayalaseema Hi-Strength Hypo Limited,Not disclosed,Not disclosed,0
SRF LIMITED,988667,393064,1381731
Sri Adhikari Brothers Television Network Limited,Not disclosed,Not disclosed,0
Standard Glass Lining Technology Limited,220.99,6627.75,6848.74
STANLEY LIFESTYLES LIMITED,Not disclosed,Not disclosed,0
Star Cement Limited,2633230,111400,2744630
Star Health and Allied Insurance Company Limited,0.01,8159.27,8159.28
STATE BANK OF INDIA,49583.35,656819.49,706402.84
Steel Authority of India Limited,52178648,4796073,56974721
STEEL EXCHANGE INDIA LIMITED,796561,0,796561
Steel Strips Wheels Limited,43676,91553,135229
STEELCAST LIMITED,8594,24839,33433
Sterling and Wilson Renewable Energy Limited,4974.9,946.03,5920.93
Sterling Tools Limited,4773.6,32551.57,37325.17
STERLITE TECHNOLOGIES LIMITED,6871.17,93045.86,99917.03
STOVE KRAFT LIMITED,295.5,9057.68,9353.18
Strides Pharma Science Limited,5376,17099,22475
STYLAM INDUSTRIES LIMITED,Not disclosed,Not disclosed,0
Styrenix Performance Materials Limited,7847.39,51664.23,59511.62
Subex Limited,0.02,1.36,1.38
